Date,Close/Last,Volume,Open,High,Low
10/12/2022,$82.51,1115579,$83.27,$83.89,$82.50
10/11/2022,$83.01,1287302,$83.64,$84.52,$82.77
10/10/2022,$84.05,1263895,$84.46,$84.53,$83.38
10/07/2022,$84.53,1140736,$85.39,$85.52,$84.15
10/06/2022,$86.36,1249734,$86.59,$87.22,$86.17
10/05/2022,$87.18,1225243,$86.19,$87.45,$85.59
10/04/2022,$88.04,1626555,$86.82,$88.35,$86.54
10/03/2022,$83.94,1686660,$82.45,$84.12,$82.03
09/30/2022,$81.25,1390554,$81.46,$82.61,$81.19
09/29/2022,$80.48,2137348,$80.25,$80.56,$79.19
09/28/2022,$81.46,2056967,$79.37,$81.77,$79.01
09/27/2022,$79.12,2478781,$80.48,$80.99,$78.56
09/26/2022,$79.63,2899864,$80.08,$81.09,$79.15
09/23/2022,$79.47,2048244,$79.18,$79.48,$78.22
09/22/2022,$81.37,1612665,$82.04,$82.29,$80.97
09/21/2022,$82.34,1162176,$83.07,$84.01,$82.18
09/20/2022,$82.93,1331540,$82.75,$83.62,$82.3655
09/19/2022,$84.26,934906,$82.69,$84.27,$82.68
09/16/2022,$83.94,1093174,$83.00,$84.13,$82.90
09/15/2022,$84.41,1332699,$85.50,$85.99,$84.21
09/14/2022,$86.31,1289053,$85.54,$86.37,$85.15
09/13/2022,$85.86,1077461,$87.01,$87.64,$85.72
09/12/2022,$88.95,818856,$88.50,$89.30,$88.375
09/09/2022,$87.07,649705,$86.40,$87.28,$86.38
09/08/2022,$85.31,960175,$83.69,$85.33,$83.45
09/07/2022,$85.57,1992435,$84.60,$85.79,$84.35
09/06/2022,$84.17,1035899,$84.83,$85.17,$83.80
09/02/2022,$83.27,1080287,$84.84,$85.56,$82.765
09/01/2022,$83.98,1300332,$84.53,$84.69,$82.41
08/31/2022,$85.22,1234497,$85.33,$86.30,$85.07
08/30/2022,$84.52,734511,$85.69,$85.87,$84.1043
08/29/2022,$84.58,959829,$84.36,$85.05,$84.1435
08/26/2022,$84.24,1116416,$87.85,$87.91,$84.0299
08/25/2022,$88.20,704800,$87.34,$88.21,$86.90
08/24/2022,$87.42,753047,$87.03,$88.10,$86.8156
08/23/2022,$87.37,765406,$87.90,$88.91,$87.29
08/22/2022,$88.43,916686,$89.45,$89.51,$88.225
08/19/2022,$91.62,706856,$92.35,$92.48,$91.47
08/18/2022,$92.46,703646,$92.74,$92.97,$92.11
08/17/2022,$92.95,746896,$93.08,$93.58,$92.55
08/16/2022,$94.20,828027,$94.19,$94.70,$93.70
08/15/2022,$95.81,1193265,$94.91,$95.90,$94.8401
08/12/2022,$95.95,674249,$95.51,$95.99,$95.08
08/11/2022,$95.24,792516,$96.19,$96.19,$95.06
08/10/2022,$96.07,931934,$96.20,$96.82,$95.71
08/09/2022,$93.76,643686,$94.19,$94.29,$93.515
08/08/2022,$94.33,629873,$95.02,$95.61,$94.115
08/05/2022,$94.56,815230,$93.65,$94.57,$93.42
08/04/2022,$95.29,876854,$95.14,$95.335,$94.38
08/03/2022,$93.49,777167,$92.26,$93.64,$92.26
08/02/2022,$91.19,1076304,$91.55,$92.12,$91.12
08/01/2022,$93.79,1834735,$93.78,$94.65,$93.38
07/29/2022,$93.21,763315,$92.54,$93.35,$92.20
07/28/2022,$91.77,1051762,$90.73,$91.97,$89.81
07/27/2022,$91.31,1545250,$89.60,$91.54,$89.40
07/26/2022,$90.29,923963,$90.88,$90.96,$89.865
07/25/2022,$91.97,1303811,$93.00,$93.12,$91.23
07/22/2022,$93.75,1907301,$94.78,$95.80,$93.27
07/21/2022,$90.29,2309793,$87.84,$90.35,$87.32
07/20/2022,$92.33,1609107,$91.77,$92.73,$91.49
07/19/2022,$92.34,1548221,$90.56,$92.42,$90.19
07/18/2022,$88.09,1003143,$88.76,$89.49,$87.86
07/15/2022,$88.00,1065778,$87.00,$88.02,$86.64
07/14/2022,$85.42,1142103,$84.64,$85.79,$83.495
07/13/2022,$85.95,1170170,$84.57,$86.53,$84.48
07/12/2022,$86.35,1164683,$87.85,$88.05,$86.11
07/11/2022,$88.32,1008609,$89.17,$89.34,$88.20
07/08/2022,$90.59,860359,$90.08,$91.25,$89.6747
07/07/2022,$90.71,805679,$89.88,$90.73,$89.87
07/06/2022,$89.86,1459796,$90.04,$90.39,$88.99
07/05/2022,$89.16,1580538,$87.57,$89.19,$87.32
07/01/2022,$90.70,1629995,$89.77,$90.71,$89.31
06/30/2022,$90.72,1805086,$89.91,$91.25,$88.96
06/29/2022,$93.93,1221362,$94.33,$95.20,$93.77
