新课程序号,课程序号,课程名称,周学时,负责人,授课教师,教师工号,教师职称,课程性质,授课语言,校区,听课专业,选课人数,起始周,结束周,排课信息
COH251001,07918201,魏晋哲学经典,2,,吴小锋,12153,,专业选修课,中文,四平路校区,2024(哲学 07094),9,1,16,吴小锋(12153) 星期五3-4节 [1-16] 南321
COH251101,07918301,两汉经学经典,2,,曾奕,12078,,个性化课程,中文,四平路校区,"2024(汉语言文学 07004),2024(文化产业管理 07914)",16,1,16,曾奕(12078) 星期二1-2节 [1-16] 南218
COH352101,07918601,近代中国哲学经典,2,,殷小勇,06161,,专业选修课,中文,四平路校区,"2023(哲学 07094),2025(哲学(二学位) 07916)",9,1,16,殷小勇(06161) 星期一7-8节 [1-16] 南307
COH251201,07918701,希腊哲学经典,2,,樊黎,16062,,专业选修课,中文,四平路校区,2023(哲学 07094),18,1,16,樊黎(16062) 星期一3-4节 [1-16] 南307
COH351001,07918801,基督教哲学经典,2,,谢志斌,12132,,专业选修课,中文,四平路校区,"2023(哲学 07094),2025(哲学(二学位) 07916)",5,1,16,谢志斌(12132) 星期四7-8节 [1-16] 南307
COH352201,07918901,近代西方哲学经典,2,,李琍,04027,,专业选修课,中文,四平路校区,"2023(哲学 07094),2025(哲学(二学位) 07916)",1,1,16,李琍(04027) 星期一9-10节 [1-16] 南307
COH351201,07919001,德国古典哲学经典,2,,贺磊,23079,,专业选修课,中文,四平路校区,2024(哲学 07094),12,1,16,贺磊(23079) 星期四7-8节 [1-16] 南321
COH351301,07919201,法国哲学经典,2,,"张尧均,尚静","04090,23003","副教授,",专业选修课,中文,四平路校区,"2023(哲学 07094),2025(哲学(二学位) 07916)",6,1,16,尚静(23003) 星期五5-6节 [1-3 5-16] 南307 张尧均(04090) 星期五5-6节 [4] 南307
COH450601,07919601,后现代主义经典,2,,张尧均,04090,,专业选修课,中文,四平路校区,2023(哲学 07094),12,1,16,张尧均(04090) 星期二1-2节 [1-16] 南307
COH351601,07919701,西方马克思主义经典,2,金翱(),"郑端,金翱,刘日明","24061,24117,95051",",,",专业选修课,中文,四平路校区,"2023(哲学 07094),2025(哲学(二学位) 07916)",10,1,16,金翱(24117) 星期五7-8节 [10-16] 南307 刘日明(95051) 星期五7-8节 [1-2] 南307 郑端(24061) 星期五7-8节 [3-9] 南307
COH354501,07920901,古代戏曲史专题研究,2,,朱崇志,03112,,专业选修课,中文,四平路校区,2023(汉语言文学 07004),9,1,16,朱崇志(03112) 星期四1-2节 [1-16] 南212
COH354601,07921001,文言小说研究,2,,刘强,04144,,专业选修课,中文,四平路校区,2023(汉语言文学 07004),0,1,16,刘强(04144) 星期日7-8节 [1-16] 不排教室
COH254702,07921502,中国现当代重要作家研究,2,,刘祎家,22186,,专业选修课,中文,四平路校区,"2024(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",1,1,16,刘祎家(22186) 星期一9-10节 [1-16] 南218
COH254701,07921501,中国现当代重要作家研究,2,,刘祎家,22186,,专业特色模块,中文,四平路校区,2025(人文科学试验班 07915),20,1,16,刘祎家(22186) 星期三9-10节 [1-16] 北105
COH254801,07921901,中国现当代诗歌研究,2,,王璞,05146,,专业选修课,中文,四平路校区,"2024(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",5,1,16,王璞(05146) 星期一5-6节 [1-16] 南218
COH354701,07922001,新时期先锋文学,2,,陈昶,19002,,专业选修课,中文,四平路校区,"2023(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",20,1,16,陈昶(19002) 星期二3-4节 [1-16] 南212
COH254901,07922101,西方诗学原著精读,2,,张永胜,07175,,专业选修课,中文,四平路校区,"2024(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",14,1,16,张永胜(07175) 星期三7-8节 [1-16] 南218
COH354801,07922201,西方马克思主义美学研究,2,,李弢,05247,,专业选修课,中文,四平路校区,2023(汉语言文学 07004),1,1,16,李弢(05247) 星期一1-2节 [1-16] 南212
COH354901,07922501,现代主义文艺思潮,2,,丛子钰,22232,,专业选修课,中文,四平路校区,2023(汉语言文学 07004),22,1,16,丛子钰(22232) 星期一3-4节 [1-16] 南212
COH355001,07922901,欧洲文学名著精讲,2,,朱静宇,05072,,专业选修课,中文,四平路校区,"2023(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",9,1,16,朱静宇(05072) 星期四5-6节 [1-16] 南212
COH355101,07923101,语言与文化,2,邓军(),邓军,01121,,专业选修课,中文,四平路校区,"2023(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",16,1,16,邓军(01121) 星期三1-2节 [1-16] 南212
COH356201,07924401,外国重要作家研究专题,2,,胡国平,14214,,专业选修课,中文,四平路校区,"2023(汉语言文学 07004),2025(汉语言文学(二学位) 07917)",13,1,16,胡国平(14214) 星期三9-10节 [1-16] 南212
COH357201,07925601,媒体写作,2,,黄陆璐,03131,,专业选修课,中文,四平路校区,2023(文化产业管理 07914),0,1,16,黄陆璐(03131) 星期日7-8节 [1-16] 不排教室
COH007803,07928103,心理学与人生,2,,左培颖,22214,,社会发展与国际视野,中文,四平路校区,,40,1,16,左培颖(22214) 星期三9-10节 [1-16] 南318
COH007802,07928102,心理学与人生,2,,左培颖,22214,,社会发展与国际视野,中文,四平路校区,,40,1,16,左培颖(22214) 星期三7-8节 [1-16] 南318
COH007801,07928101,心理学与人生,2,,左培颖,22214,,社会发展与国际视野,中文,四平路校区,,40,1,16,左培颖(22214) 星期一9-10节 [1-16] 南318
