新课程序号,课程名称,课程性质,校区,排课信息
CAM337701,曲式2,专业基础课,四平路校区,姜蕾(25126) 星期三5-6节 [1-16] 三教604
CAM347901,重唱2,专业必修课,四平路校区,"王伊达(13093),李夏(2400353) 星期一1-2节 [1-16] 三教625"
CAM247903,钢琴4,专业必修课,四平路校区,王夕岚(09142) 星期四5-5节 [1-16] 三教617
CAM247902,钢琴4,专业必修课,四平路校区,张弛(01111) 星期三3-3节 [1-16] 三教617
CAM247901,钢琴4,专业必修课,四平路校区,齐欢(08001) 星期四10-10节 [1-16] 三教619
CAM337901,中国音乐史2,专业基础课,四平路校区,秦川(08093) 星期二1-2节 [1-16] 三教602
CAM237801,西方音乐史2,专业基础课,四平路校区,郭怡然(20161) 星期一7-8节 [1-16] 三教604
CAM137801,和声1,专业基础课,四平路校区,郭怡然(20161) 星期一9-10节 [1-16] 三教604
CAM357701,钢琴艺术史2,专业选修课,四平路校区,秦川(08093) 星期二3-4节 [1-16] 三教602
CAM357801,20世纪音乐1,专业选修课,四平路校区,郭怡然(20161) 星期一5-6节 [1-16] 三教604
CAM158001,中外语音(普\意\法\德)2,专业选修课,四平路校区,文翔浩(2400904) 星期四9-10节 [1-16] 三教602
CAM001401,钢琴演奏,人文经典与审美素养,四平路校区,张弛(01111) 星期三5-6节 [1-16] 三教601
